trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-05-07,000420.SZ,吉林化纤,3.72,化纤,-0.27,21.237,0.269,17.7,1.08,1.1,0,0.0,0.0,16.57,1.53,1.53,0,0.0,0.0,0,0,0,0.0042,0.1129,382.46,-6.86,-2,9.74
2025-03-19,000422.SZ,湖北宜化,13.34,农药化肥,-2.06,15.131,13.783,36.94,3.14,2.74,0,0.0,0.0,37.88,4.44,3.95,0,0.0,0.0,0,0,7,0.3671,2.7519,743.94,1.47,7,37.79
2025-07-14,000422.SZ,湖北宜化,11.79,农药化肥,0.43,15.397,9.038,6.74,0.57,0.6,10,10.0,6.0,4.49,0.53,0.61,7,7.0,3.0,-1,-2,-2,-0.0763,-0.6472,294.31,2.18,2,-2.45
2025-05-29,000426.SZ,兴业银锡,13.46,铅锌,-1.46,21.624,7.739,23.36,1.49,1.59,0,0.0,0.0,22.51,1.96,2.16,0,0.0,0.0,0,0,0,0.2437,1.8105,353.39,-1.71,-3,-4.5
2025-04-03,000428.SZ,华天酒店,3.28,酒店餐饮,2.82,17.966,8.814,12.41,0.74,0.78,4,4.0,0.0,9.65,0.9,1.01,2,2.0,0.0,0,0,0,0.0253,0.7713,385.54,-10.12,-4,-21.67
2025-04-01,000501.SZ,武商集团,8.99,百货,-0.88,18.202,10.899,20.29,1.89,1.54,0,2.0,0.0,23.03,3.42,2.64,0,4.0,0.0,0,0,5,0.1181,1.3137,785.78,14.29,5,108.11
2025-07-31,000501.SZ,武商集团,9.39,百货,-3.3,25.727,6.566,39.86,3.72,3.83,0,0.0,0.0,37.67,5.59,5.93,-5,-1.0,-5.0,3,0,0,0.2608,2.7774,756.93,-3.12,-1,8.23
2025-01-22,000503.SZ,国新健康,9.85,软件服务,-1.5,19.048,10.248,87.61,4.98,5.05,-13,-9.0,-13.0,43.79,3.97,4.24,0,0.0,-12.0,-1,-2,-2,-0.5717,-5.8041,297.07,-2.94,-2,2.54
2025-03-28,000505.SZ,京粮控股,6.05,食品,-1.14,17.577,4.949,9.12,0.83,0.87,14,14.0,10.0,6.83,0.96,1.09,1,1.0,0.0,0,0,0,0.031,0.5124,373.24,-1.2,-1,7.42
2025-04-09,000505.SZ,京粮控股,6.72,食品,-2.47,15.284,9.898,23.62,2.14,1.61,0,19.0,0.0,20.52,2.87,2.04,0,6.0,0.0,2,3,3,0.1198,1.7827,1075.93,27.46,4,103.65
