trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-03-14,000034.SZ,神州数码,47.7,软件服务,0.91,-1.938,-7.316,83.59,5.02,5.22,-23,-19.0,-23.0,33.13,2.7,2.99,0,0.0,0.0,0,0,0,1.3199,2.7671,268.61,-12.87,-3,-29.23
2025-03-27,000034.SZ,神州数码,42.91,软件服务,0.3,-5.349,-14.892,62.8,3.77,3.8,0,0.0,0.0,52.69,4.29,3.74,0,0.0,0.0,0,0,-1,-0.6778,-1.5796,261.8,-0.05,0,12.83
2025-05-07,000034.SZ,神州数码,41.44,软件服务,-2.38,-3.38,-6.665,66.55,4.0,4.12,0,0.0,-16.0,29.14,2.37,2.3,0,0.0,0.0,0,0,0,-0.3851,-0.9293,525.98,11.72,5,48.85
2025-05-20,000034.SZ,神州数码,38.81,软件服务,0.26,-6.768,-10.115,44.45,2.67,2.82,0,0.0,0.0,21.28,1.73,2.0,0,0.0,0.0,0,0,0,-0.1118,-0.2881,223.69,-6.46,-7,-52.73
2025-08-25,000034.SZ,神州数码,47.19,软件服务,-0.49,-7.508,-9.695,64.96,3.9,3.59,0,0.0,0.0,51.79,4.22,3.88,0,0.0,0.0,16,11,11,2.0551,4.3549,650.69,0.89,0,20.58
2025-03-27,000035.SZ,中国天楹,4.85,环境保护,-0.61,-1.05,-10.924,20.28,1.57,1.56,0,0.0,0.0,15.83,2.08,2.17,0,0.0,0.0,6,0,10,0.0652,1.3443,411.44,-0.77,0,-0.18
2025-03-14,000036.SZ,华联控股,4.2,全国地产,0.96,-1.202,-6.971,16.62,1.3,1.32,0,0.0,0.0,18.88,2.71,2.75,0,0.0,0.0,0,0,1,0.0392,0.9333,336.48,-5.96,-6,-58.33
2025-03-27,000036.SZ,华联控股,3.92,全国地产,0.26,-0.519,-9.87,18.71,1.47,1.25,0,6.0,0.0,21.56,3.1,2.57,0,1.0,0.0,0,0,0,-0.041,-1.0459,262.8,-0.5,0,-7.34
2025-08-22,000036.SZ,华联控股,4.36,全国地产,-2.02,-3.254,-7.592,55.46,4.35,3.94,-2,0.0,-2.0,49.92,7.17,6.51,-3,0.0,-3.0,6,9,9,0.1676,3.844,507.58,-8.34,-4,-16.45
2025-03-27,000037.SZ,深南电A,8.27,火力发电,-2.71,1.84,-7.239,23.9,1.53,1.61,0,0.0,0.0,13.13,1.26,1.48,0,0.0,0.0,0,0,0,0.1109,1.341,427.64,-6.02,-6,-21.52
2025-04-24,000037.SZ,深南电A,8.42,火力发电,3.82,-2.617,-7.053,9.18,0.59,0.69,4,4.0,0.0,10.56,1.01,1.18,0,0.0,0.0,0,0,0,-0.0009,-0.0107,442.25,13.67,1,7.27
2025-06-12,000037.SZ,深南电A,9.02,火力发电,-3.01,1.514,-8.649,29.93,1.92,1.88,0,0.0,0.0,20.44,1.96,1.93,0,0.0,0.0,0,2,2,0.1835,2.0344,463.3,-2.77,-4,-36.6
